日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20210917,       5680,       5940,       5670,       5890,       6032,     5138.8,    4423.26,  5853.4002,         757300,         652740,         681728
20210916,       5870,       5890,       5600,       5740,       6108,     5086.8,    4390.86,  5745.2354,         781600,         741500,         665428
20210915,       6140,       6190,       6020,       6050,       6168,       5036,    4361.53,  6103.9899,         475200,         773380,         664688
20210914,       6120,       6270,       5980,       6260,       6178,       4981,    4328.06,  6115.5779,         558100,        1271800,         678644
20210913,       6330,       6330,       6060,       6220,       6016,     4915.8,     4291.2,  6212.3456,         691500,        1361940,         676956
20210910,       6100,       6380,       6010,       6270,       5844,     4857.8,    4253.33,  6211.6535,        1201100,        1482020,         669644
20210909,       5920,       6170,       5910,       6040,       5570,     4801.4,       4216,  6026.8959,         941000,        1319200,         642628
20210908,       6110,       6300,       5930,       6100,       5321,     4762.2,    4180.73,  6096.4257,        2967300,        1209260,         633172
20210907,       5550,       5600,       5240,       5450,       5029,     4720.2,    4144.66,  5429.7234,        1008800,         754080,         541468
20210906,       5010,       5460,       4915,       5360,       4920,     4697.4,    4115.13,  5253.5219,        1291900,         652300,         529752
20210903,       4710,       4945,       4675,       4900,       4771,     4679.6,    4085.93,  4845.3605,         387000,         498120,         509184
20210902,       4690,       4835,       4660,       4795,       4714,     4674.4,    4061.66,  4755.2977,         391300,         524680,         512200
20210901,       4905,       4950,       4605,       4640,       4664,     4674.2,    4037.93,  4732.2859,         691400,         509840,         528036
20210831,       4650,       4905,       4635,       4905,       4668,     4680.6,    4017.13,  4826.3093,         499900,         432520,         526156
20210830,       4630,       4640,       4430,       4615,       4633,     4669.6,    3991.86,  4549.8273,         521000,         427780,         538788
20210827,       4540,       4685,       4510,       4615,       4662,     4664.6,    3972.06,  4608.9352,         519800,         427000,         542468
20210826,       4730,       4740,       4465,       4545,       4624,       4654,    3952.46,  4564.0508,         317100,         388280,         546736
20210825,       4700,       4730,       4590,       4660,       4605,     4642.6,     3935.8,  4662.9249,         304800,         409440,         553328
20210824,       4795,       4830,       4670,       4730,       4545,     4626.8,    3918.73,  4720.2089,         476200,         427660,         562508
20210823,       4565,       4760,       4550,       4760,       4449,     4613.2,    3901.33,  4702.1466,         517100,         394080,         583572
20210820,       4490,       4565,       4415,       4425,       4385,     4602.4,    3885.46,  4488.8044,         326200,         348760,         597348
20210819,       4315,       4495,       4315,       4450,       4418,     4606.4,     3875.4,  4446.2012,         422900,         353480,         660308
20210818,       4235,       4415,       4205,       4360,       4422,     4600.4,    3865.53,  4339.5352,         395900,         421520,         689296
20210817,       4390,       4405,       4225,       4250,       4485,     4590.8,    3856.93,  4294.7535,         308300,         507160,         732880
20210816,       4495,       4505,       4390,       4440,       4561,     4569.4,    3847.13,  4446.6231,         290500,         548680,         736432
20210813,       4420,       4615,       4405,       4590,       4627,       4540,       3834,  4550.5232,         349800,         592320,         740104
20210812,       4675,       4680,       4390,       4470,       4681,     4500.8,     3817.8,  4494.7255,         763100,         627500,         749836
20210811,       4720,       4780,       4490,       4675,       4799,     4463.4,    3804.26,   4619.997,         824100,         615800,         773724
20210810,       4725,       4755,       4595,       4630,       4874,       4424,     3788.4,  4646.9229,         515900,         585920,         752100
20210806,       4920,       5000,       4725,       4770,       4924,     4390.6,     3774.2,  4799.3955,         508700,         625920,         741904
20210805,       5080,       5160,       4835,       4860,       4953,     4356.8,    3758.06,  4953.9737,         525700,         679720,         738720
20210804,       5240,       5260,       4990,       5060,       4935,     4315.4,     3738.8,  5099.7083,         704600,         667060,         732148
20210803,       4880,       5140,       4865,       5050,       4881,     4264.2,    3718.93,  5044.5428,         674700,         683580,         711708
20210802,       4915,       5020,       4800,       4880,       4831,       4211,    3699.53,  4893.7931,         715900,         677520,         694488
20210730,       4810,       5010,       4785,       4915,       4781,       4165,    3683.13,  4911.7526,         777700,         697480,         678164
20210729,       4785,       4830,       4675,       4770,       4696,       4118,     3664.4,  4760.6769,         462400,         664540,         662820
20210728,       4850,       4940,       4705,       4790,       4612,     4072.2,    3648.33,  4818.5969,         787200,         697360,         651304
20210727,       4695,       4820,       4595,       4800,       4506,     4020.6,    3629.93,  4745.7969,         644400,         636300,         628008
20210726,       4670,       4755,       4575,       4630,       4399,     3973.8,    3611.06,  4651.2002,         815700,         614280,         613248
